frontUserName,content,createTime,commentReplyVO,memberLevel,appendCommentVO,star,itemId,color,size
1****6,这个真的实在是太舒服了，把我以前的都不要了，希望能再搞活动，还要多买几个,1554512947486,,5,,5,1616018,深杏色,80C
美****,睡衣聚拢效果很好，就是有点厚，夏天穿着会有点热，若后围弄成透气那种就完美了,1555377502606,,4,,5,1616018,深杏色,75A
m****1,超级舒服一件内衣，聚拢效果也好，再买一件黑色的。省钱了不用再去买大品牌的内衣了,1552962903967,,6,,5,1616018,深杏色,80B
z****3,价格跳水，哭了，我的人民币，什么使用优惠券不适用保价，垃圾,1568881477440,,4,,3,1616018,深杏色,80B
海****,穿上很舒服，可能上身有点胖，有点紧，穿穿估计就好了。整体不错，还会再买。,1555425109376,,5,,5,1616018,深杏色,75B
d****9,降价了，补仓囤货,1570016836657,,5,,5,1616018,深杏色,85C
m****0,之前买了2条，现在买了3条，很好穿，就认定它了，无钢圈。舒服,1569469618942,,5,,5,1616018,深杏色,75C
m****0,之前买了2条，现在买了3条，很好穿，就认定它了，无钢圈。舒服,1569469614535,,5,,5,1616018,黑色,75C
冷****,代人购入，反馈: 真厚~~，挺聚拢的，肩带还是会滑落，更适合冬季，夏天会很热,1551668742002,,5,,4,1616018,深杏色,85B
m****8,第一次尝试无钢圈内衣、效果太好了、比之前买的200多的都要好、推荐！,1564752293193,,4,,5,1616018,深杏色,75C
静****,超赞超赞，手感非常好。刚好在优衣库买的同类型，品质没有严选好，真的。以后要经常光顾严选。,1552795232229,,4,,5,1616018,深杏色,80C
袁****,品质很好，有大牌风范，就是尺码要选大一码的才行。,1567914075306,,5,,5,1616018,深杏色,85C
1****5,这款内衣的聚拢效果比之前在严选买的另外一款效果好很多很多，所以买完黑色我又回购了裸色,1555198906061,,6,,5,1616018,深杏色,85B
1****5,不错，质量很好，很舒服，大小也合适，就是价格变化挺大，买了就涨价了，等下次降价再买一件,1550282145688,,5,,5,1616018,黑色,75B
1****0,文胸聚拢性很好，材质很柔软，最重要的是没有压迫感，洗后也没变形。又回购了一件浅色的。,1554902398865,,6,,5,1616018,黑色,80C
1****5,抱着试一试的心态买的，严选没有让人失望啊，很棒！,1571369069513,,2,,5,1616018,黑色,75B
Z****S,之前买了一个杏色，拿到后立即回购四个，杏色黑色各两个，可见多么好！旧的都可以扔了！,1557407322404,,6,,5,1616018,黑色,85C
一****,非常好穿，超出预期，聚拢效果特别赞，还能收副乳，厉害了，准备再入一件,1557655379956,,6,,5,1616018,深杏色,80C
琦****,系统默认好评,1563215966347,,5,"{'id': 92597247, 'createTime': 1567947298168, 'content': '这款穿上很不舒服，比带钢圈的内衣还要勒，乳根有压迫感，但前半部分还空杯，包裹效果差', 'picList': [], 'commentReplyVO': None}",2,1616018,黑色,80B
1****4,整体还可以的，质量还行，不过有点空杯，可能码数没选好,1568619182509,,4,,5,1616018,黑色,75A
1****3,试穿了一下，还不错。比在优衣库买的同价位无钢圈内衣塑形效果好，比较舒适。用一段时间再来评价！,1556505004133,,5,,4,1616018,深杏色,85B
1****9,对于我来说这个有些厚，我喜欢那种薄一些的，只能冬天穿了,1572535136346,,4,,5,1616018,黑色,75B
1****0,自己穿了觉得好，推荐给同事，代她买的，她说挺好的,1568208813816,,5,,5,1616018,深杏色,75B
袁****,尺码比一般的品牌要小一号，所以购买时要选一码的,1568177657742,,5,,5,1616018,深杏色,80B
w****0,选C杯有点点空，B杯又是厚型的。很舒服，又有聚拢调整型的效果，很棒！又追加了黑色的,1555382498744,,6,,5,1616018,深杏色,85C
遇****,没有人家评价的那么好，懒得退了,1567990651261,,5,,5,1616018,黑色,80B
c****u,这次下胸围买大了一码，仍然略紧。很厚，聚拢效果倒还好。,1565679377554,,4,,3,1616018,深杏色,80B
m****4,回头客！很满意，现在已经超爱上网易了，包装好，质量好，服务好！😄,1564277368244,,6,,5,1616018,黑色,80A
1****8,内衣穿着真心不错，很舒服，要是多点颜色就更好了，可以多选几套换着穿,1547803065290,,3,,5,1616018,深杏色,75A
棉****糖,穿着很舒适但是没想到穿一次就起边了 看着好像是胶水粘接的,1564841404170,,3,,2,1616018,黑色,85C
1****8,买了两次了两点颜色，整体的型特别收，穿着比较舒服,1573261344969,,4,,5,1616018,黑色,75C
1****7,包裹不是很好,1564883506962,,3,,5,1616018,深杏色,85C
王****静,颜色略显老气，材质还是不错的，不适合天气热时穿，适合胖美人，收拢效果不错,1552142612295,,5,,5,1616018,深杏色,85C
l****2,买过黑色，好穿，再来一个颜色，舒服好穿，聚拢效果好,1573084267523,,5,,5,1616018,深杏色,75C
J****H,打开包装味道很大，类似油漆味。另外是带垫高的，事先没了解～整体而言，还行吧，洗的时候泡沫难去除。希望网易坚持初心，毕竟我上次退了一次，这次不好意思退了而已,1567120472711,,5,,5,1616018,黑色,85B
1****7,非常好呢，由于胸小，买不到合适的，肩带不下滑是最棒的，哈哈,1555494062646,,3,,5,1616018,深杏色,80B
哎****泡,我一般都不评论  但我这次真忍不住想说  太TM好穿了吧  这是内衣？！,1551970487195,,3,,5,1616018,深杏色,75C
1****1,尺寸确实比正常小一码，其他很棒，太舒服了，再下单一个,1566397264788,,4,,5,1616018,深杏色,75C
m****0,没注意，原来 B杯是厚款，胸更大了，不太适合。,1569121768215,,5,,5,1616018,深杏色,80B
